Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
S10 1AA,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AB,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AD,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AE,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1AF,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AG,Live,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1AH,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AJ,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AL,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AN,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1AP,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AQ,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AR,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
